Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
Total,Indiana,18,2008,2008,,,,,829,6424806,12.9
,Indiana,18,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,895,6459325,13.9
Total,Indiana,18,2009,2009,External causes of morbidity and mortality,V01-Y89,,,895,6459325,13.9
Total,Indiana,18,2009,2009,,,,,895,6459325,13.9
,Indiana,18,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,924,6483802,14.3
Total,Indiana,18,2010,2010,External causes of morbidity and mortality,V01-Y89,,,924,6483802,14.3
Total,Indiana,18,2010,2010,,,,,924,6483802,14.3
,Indiana,18,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,974,6516922,14.9
Total,Indiana,18,2011,2011,External causes of morbidity and mortality,V01-Y89,,,974,6516922,14.9
Total,Indiana,18,2011,2011,,,,,974,6516922,14.9
,Indiana,18,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1011,6537334,15.5
Total,Indiana,18,2012,2012,External causes of morbidity and mortality,V01-Y89,,,1011,6537334,15.5
Total,Indiana,18,2012,2012,,,,,1011,6537334,15.5
,Indiana,18,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1062,6570902,16.2
Total,Indiana,18,2013,2013,External causes of morbidity and mortality,V01-Y89,,,1062,6570902,16.2
Total,Indiana,18,2013,2013,,,,,1062,6570902,16.2
,Indiana,18,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1172,6596855,17.8
Total,Indiana,18,2014,2014,External causes of morbidity and mortality,V01-Y89,,,1172,6596855,17.8
Total,Indiana,18,2014,2014,,,,,1172,6596855,17.8
,Indiana,18,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1244,6619680,18.8
Total,Indiana,18,2015,2015,External causes of morbidity and mortality,V01-Y89,,,1244,6619680,18.8
Total,Indiana,18,2015,2015,,,,,1244,6619680,18.8
,Indiana,18,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1525,6633053,23
Total,Indiana,18,2016,2016,External causes of morbidity and mortality,V01-Y89,,,1525,6633053,23
Total,Indiana,18,2016,2016,,,,,1525,6633053,23
,Indiana,18,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1849,6666818,27.7
Total,Indiana,18,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1849,6666818,27.7
Total,Indiana,18,2017,2017,,,,,1849,6666818,27.7
,Indiana,18,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1629,6691878,24.3
Total,Indiana,18,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1629,6691878,24.3
Total,Indiana,18,2018,2018,,,,,1629,6691878,24.3
,Indiana,18,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1699,6732219,25.2
Total,Indiana,18,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1699,6732219,25.2
Total,Indiana,18,2019,2019,,,,,1699,6732219,25.2
Total,Indiana,18,,,,,,,18889,134763304,14
,Iowa,19,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,52,2917634,1.8
Total,Iowa,19,1999,1999,External causes of morbidity and mortality,V01-Y89,,,52,2917634,1.8
Total,Iowa,19,1999,1999,,,,,52,2917634,1.8
,Iowa,19,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,72,2926324,2.5
Total,Iowa,19,2000,2000,External causes of morbidity and mortality,V01-Y89,,,72,2926324,2.5
Total,Iowa,19,2000,2000,,,,,72,2926324,2.5
,Iowa,19,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,86,2931997,2.9
Total,Iowa,19,2001,2001,External causes of morbidity and mortality,V01-Y89,,,86,2931997,2.9
Total,Iowa,19,2001,2001,,,,,86,2931997,2.9
,Iowa,19,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,91,2934234,3.1
Total,Iowa,19,2002,2002,External causes of morbidity and mortality,V01-Y89,,,91,2934234,3.1
Total,Iowa,19,2002,2002,,,,,91,2934234,3.1
,Iowa,19,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,96,2941999,3.3
Total,Iowa,19,2003,2003,External causes of morbidity and mortality,V01-Y89,,,96,2941999,3.3
Total,Iowa,19,2003,2003,,,,,96,2941999,3.3
,Iowa,19,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,122,2953635,4.1
Total,Iowa,19,2004,2004,External causes of morbidity and mortality,V01-Y89,,,122,2953635,4.1
Total,Iowa,19,2004,2004,,,,,122,2953635,4.1
,Iowa,19,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,141,2964454,4.8
Total,Iowa,19,2005,2005,External causes of morbidity and mortality,V01-Y89,,,141,2964454,4.8
Total,Iowa,19,2005,2005,,,,,141,2964454,4.8
,Iowa,19,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,186,2982644,6.2
Total,Iowa,19,2006,2006,External causes of morbidity and mortality,V01-Y89,,,186,2982644,6.2
Total,Iowa,19,2006,2006,,,,,186,2982644,6.2
,Iowa,19,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,201,2999212,6.7
Total,Iowa,19,2007,2007,External causes of morbidity and mortality,V01-Y89,,,201,2999212,6.7
Total,Iowa,19,2007,2007,,,,,201,2999212,6.7
,Iowa,19,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,209,3016734,6.9
Total,Iowa,19,2008,2008,External causes of morbidity and mortality,V01-Y89,,,209,3016734,6.9
Total,Iowa,19,2008,2008,,,,,209,3016734,6.9
,Iowa,19,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,207,3032870,6.8
Total,Iowa,19,2009,2009,External causes of morbidity and mortality,V01-Y89,,,207,3032870,6.8
Total,Iowa,19,2009,2009,,,,,207,3032870,6.8
,Iowa,19,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,253,3046355,8.3
Total,Iowa,19,2010,2010,External causes of morbidity and mortality,V01-Y89,,,253,3046355,8.3
Total,Iowa,19,2010,2010,,,,,253,3046355,8.3
,Iowa,19,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,250,3062309,8.2
Total,Iowa,19,2011,2011,External causes of morbidity and mortality,V01-Y89,,,250,3062309,8.2
Total,Iowa,19,2011,2011,,,,,250,3062309,8.2
,Iowa,19,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,259,3074186,8.4
Total,Iowa,19,2012,2012,External causes of morbidity and mortality,V01-Y89,,,259,3074186,8.4
Total,Iowa,19,2012,2012,,,,,259,3074186,8.4
,Iowa,19,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,275,3090416,8.9
Total,Iowa,19,2013,2013,External causes of morbidity and mortality,V01-Y89,,,275,3090416,8.9
Total,Iowa,19,2013,2013,,,,,275,3090416,8.9
,Iowa,19,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,264,3107126,8.5
Total,Iowa,19,2014,2014,External causes of morbidity and mortality,V01-Y89,,,264,3107126,8.5
Total,Iowa,19,2014,2014,,,,,264,3107126,8.5
,Iowa,19,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,309,3123899,9.9
Total,Iowa,19,2015,2015,External causes of morbidity and mortality,V01-Y89,,,309,3123899,9.9
Total,Iowa,19,2015,2015,,,,,309,3123899,9.9
,Iowa,19,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,314,3134693,10
Total,Iowa,19,2016,2016,External causes of morbidity and mortality,V01-Y89,,,314,3134693,10
Total,Iowa,19,2016,2016,,,,,314,3134693,10
,Iowa,19,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,341,3145711,10.8
Total,Iowa,19,2017,2017,External causes of morbidity and mortality,V01-Y89,,,341,3145711,10.8
Total,Iowa,19,2017,2017,,,,,341,3145711,10.8
,Iowa,19,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,286,3156145,9.1
Total,Iowa,19,2018,2018,External causes of morbidity and mortality,V01-Y89,,,286,3156145,9.1
Total,Iowa,19,2018,2018,,,,,286,3156145,9.1
,Iowa,19,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,352,3155070,11.2
Total,Iowa,19,2019,2019,External causes of morbidity and mortality,V01-Y89,,,352,3155070,11.2
Total,Iowa,19,2019,2019,,,,,352,3155070,11.2
Total,Iowa,19,,,,,,,4366,63697647,6.9
,Kansas,20,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,89,2678338,3.3
Total,Kansas,20,1999,1999,External causes of morbidity and mortality,V01-Y89,,,89,2678338,3.3
Total,Kansas,20,1999,1999,,,,,89,2678338,3.3
,Kansas,20,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,103,2688418,3.8
Total,Kansas,20,2000,2000,External causes of morbidity and mortality,V01-Y89,,,103,2688418,3.8
Total,Kansas,20,2000,2000,,,,,103,2688418,3.8
,Kansas,20,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,138,2702162,5.1
Total,Kansas,20,2001,2001,External causes of morbidity and mortality,V01-Y89,,,138,2702162,5.1
Total,Kansas,20,2001,2001,,,,,138,2702162,5.1
,Kansas,20,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,170,2713535,6.3
Total,Kansas,20,2002,2002,External causes of morbidity and mortality,V01-Y89,,,170,2713535,6.3
Total,Kansas,20,2002,2002,,,,,170,2713535,6.3
,Kansas,20,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,188,2723004,6.9
Total,Kansas,20,2003,2003,External causes of morbidity and mortality,V01-Y89,,,188,2723004,6.9
Total,Kansas,20,2003,2003,,,,,188,2723004,6.9
,Kansas,20,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,223,2734373,8.2
Total,Kansas,20,2004,2004,External causes of morbidity and mortality,V01-Y89,,,223,2734373,8.2
Total,Kansas,20,2004,2004,,,,,223,2734373,8.2
,Kansas,20,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,240,2745299,8.7
Total,Kansas,20,2005,2005,External causes of morbidity and mortality,V01-Y89,,,240,2745299,8.7
Total,Kansas,20,2005,2005,,,,,240,2745299,8.7
,Kansas,20,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,257,2762931,9.3
Total,Kansas,20,2006,2006,External causes of morbidity and mortality,V01-Y89,,,257,2762931,9.3
Total,Kansas,20,2006,2006,,,,,257,2762931,9.3
,Kansas,20,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,270,2783785,9.7
Total,Kansas,20,2007,2007,External causes of morbidity and mortality,V01-Y89,,,270,2783785,9.7
Total,Kansas,20,2007,2007,,,,,270,2783785,9.7
,Kansas,20,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,218,2808076,7.8
Total,Kansas,20,2008,2008,External causes of morbidity and mortality,V01-Y89,,,218,2808076,7.8
Total,Kansas,20,2008,2008,,,,,218,2808076,7.8
,Kansas,20,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,303,2832704,10.7
Total,Kansas,20,2009,2009,External causes of morbidity and mortality,V01-Y89,,,303,2832704,10.7
Total,Kansas,20,2009,2009,,,,,303,2832704,10.7
,Kansas,20,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,269,2853118,9.4
Total,Kansas,20,2010,2010,External causes of morbidity and mortality,V01-Y89,,,269,2853118,9.4
Total,Kansas,20,2010,2010,,,,,269,2853118,9.4
,Kansas,20,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,280,2871238,9.8
Total,Kansas,20,2011,2011,External causes of morbidity and mortality,V01-Y89,,,280,2871238,9.8
Total,Kansas,20,2011,2011,,,,,280,2871238,9.8
,Kansas,20,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,318,2885905,11
Total,Kansas,20,2012,2012,External causes of morbidity and mortality,V01-Y89,,,318,2885905,11
Total,Kansas,20,2012,2012,,,,,318,2885905,11
,Kansas,20,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,331,2893957,11.4
Total,Kansas,20,2013,2013,External causes of morbidity and mortality,V01-Y89,,,331,2893957,11.4
Total,Kansas,20,2013,2013,,,,,331,2893957,11.4
,Kansas,20,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,332,2904021,11.4
Total,Kansas,20,2014,2014,External causes of morbidity and mortality,V01-Y89,,,332,2904021,11.4
Total,Kansas,20,2014,2014,,,,,332,2904021,11.4
,Kansas,20,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,329,2911641,11.3
Total,Kansas,20,2015,2015,External causes of morbidity and mortality,V01-Y89,,,329,2911641,11.3
Total,Kansas,20,2015,2015,,,,,329,2911641,11.3
,Kansas,20,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,313,2907289,10.8
Total,Kansas,20,2016,2016,External causes of morbidity and mortality,V01-Y89,,,313,2907289,10.8
Total,Kansas,20,2016,2016,,,,,313,2907289,10.8
,Kansas,20,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,332,2913123,11.4
Total,Kansas,20,2017,2017,External causes of morbidity and mortality,V01-Y89,,,332,2913123,11.4
Total,Kansas,20,2017,2017,,,,,332,2913123,11.4
,Kansas,20,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,345,2911505,11.8
Total,Kansas,20,2018,2018,External causes of morbidity and mortality,V01-Y89,,,345,2911505,11.8
Total,Kansas,20,2018,2018,,,,,345,2911505,11.8
,Kansas,20,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,403,2913314,13.8
Total,Kansas,20,2019,2019,External causes of morbidity and mortality,V01-Y89,,,403,2913314,13.8
Total,Kansas,20,2019,2019,,,,,403,2913314,13.8
Total,Kansas,20,,,,,,,5451,59137736,9.2
,Kentucky,21,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,195,4018053,4.9
Total,Kentucky,21,1999,1999,External causes of morbidity and mortality,V01-Y89,,,195,4018053,4.9
Total,Kentucky,21,1999,1999,,,,,195,4018053,4.9
,Kentucky,21,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,241,4041769,6
Total,Kentucky,21,2000,2000,External causes of morbidity and mortality,V01-Y89,,,241,4041769,6
Total,Kentucky,21,2000,2000,,,,,241,4041769,6
,Kentucky,21,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,345,4068132,8.5
Total,Kentucky,21,2001,2001,External causes of morbidity and mortality,V01-Y89,,,345,4068132,8.5
Total,Kentucky,21,2001,2001,,,,,345,4068132,8.5
,Kentucky,21,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,424,4089875,10.4
Total,Kentucky,21,2002,2002,External causes of morbidity and mortality,V01-Y89,,,424,4089875,10.4
Total,Kentucky,21,2002,2002,,,,,424,4089875,10.4
,Kentucky,21,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,560,4117170,13.6
Total,Kentucky,21,2003,2003,External causes of morbidity and mortality,V01-Y89,,,560,4117170,13.6
Total,Kentucky,21,2003,2003,,,,,560,4117170,13.6
,Kentucky,21,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,526,4146101,12.7
Total,Kentucky,21,2004,2004,External causes of morbidity and mortality,V01-Y89,,,526,4146101,12.7
Total,Kentucky,21,2004,2004,,,,,526,4146101,12.7
,Kentucky,21,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,636,4182742,15.2
Total,Kentucky,21,2005,2005,External causes of morbidity and mortality,V01-Y89,,,636,4182742,15.2
Total,Kentucky,21,2005,2005,,,,,636,4182742,15.2
,Kentucky,21,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,726,4219239,17.2
Total,Kentucky,21,2006,2006,External causes of morbidity and mortality,V01-Y89,,,726,4219239,17.2
Total,Kentucky,21,2006,2006,,,,,726,4219239,17.2
,Kentucky,21,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,707,4256672,16.6
Total,Kentucky,21,2007,2007,External causes of morbidity and mortality,V01-Y89,,,707,4256672,16.6
Total,Kentucky,21,2007,2007,,,,,707,4256672,16.6
,Kentucky,21,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,762,4289878,17.8
Total,Kentucky,21,2008,2008,External causes of morbidity and mortality,V01-Y89,,,762,4289878,17.8
Total,Kentucky,21,2008,2008,,,,,762,4289878,17.8
,Kentucky,21,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,769,4317074,17.8
Total,Kentucky,21,2009,2009,External causes of morbidity and mortality,V01-Y89,,,769,4317074,17.8
Total,Kentucky,21,2009,2009,,,,,769,4317074,17.8
,Kentucky,21,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1007,4339367,23.2
Total,Kentucky,21,2010,2010,External causes of morbidity and mortality,V01-Y89,,,1007,4339367,23.2
Total,Kentucky,21,2010,2010,,,,,1007,4339367,23.2
,Kentucky,21,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1057,4369356,24.2
Total,Kentucky,21,2011,2011,External causes of morbidity and mortality,V01-Y89,,,1057,4369356,24.2
Total,Kentucky,21,2011,2011,,,,,1057,4369356,24.2
,Kentucky,21,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1078,4380415,24.6
Total,Kentucky,21,2012,2012,External causes of morbidity and mortality,V01-Y89,,,1078,4380415,24.6
Total,Kentucky,21,2012,2012,,,,,1078,4380415,24.6
,Kentucky,21,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1019,4395295,23.2
Total,Kentucky,21,2013,2013,External causes of morbidity and mortality,V01-Y89,,,1019,4395295,23.2
Total,Kentucky,21,2013,2013,,,,,1019,4395295,23.2
,Kentucky,21,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1077,4413457,24.4
Total,Kentucky,21,2014,2014,External causes of morbidity and mortality,V01-Y89,,,1077,4413457,24.4
Total,Kentucky,21,2014,2014,,,,,1077,4413457,24.4
,Kentucky,21,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1273,4425092,28.8
Total,Kentucky,21,2015,2015,External causes of morbidity and mortality,V01-Y89,,,1273,4425092,28.8
Total,Kentucky,21,2015,2015,,,,,1273,4425092,28.8
,Kentucky,21,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1419,4436974,32
Total,Kentucky,21,2016,2016,External causes of morbidity and mortality,V01-Y89,,,1419,4436974,32
Total,Kentucky,21,2016,2016,,,,,1419,4436974,32
,Kentucky,21,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1564,4454189,35.1
Total,Kentucky,21,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1564,4454189,35.1
Total,Kentucky,21,2017,2017,,,,,1564,4454189,35.1
,Kentucky,21,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1314,4468402,29.4
Total,Kentucky,21,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1314,4468402,29.4
Total,Kentucky,21,2018,2018,,,,,1314,4468402,29.4
,Kentucky,21,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1379,4467673,30.9
Total,Kentucky,21,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1379,4467673,30.9
Total,Kentucky,21,2019,2019,,,,,1379,4467673,30.9
Total,Kentucky,21,,,,,,,18078,89896925,20.1
,Louisiana,22,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,187,4460811,4.2
Total,Louisiana,22,1999,1999,External causes of morbidity and mortality,V01-Y89,,,187,4460811,4.2
Total,Louisiana,22,1999,1999,,,,,187,4460811,4.2
,Louisiana,22,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,246,4468976,5.5
Total,Louisiana,22,2000,2000,External causes of morbidity and mortality,V01-Y89,,,246,4468976,5.5
Total,Louisiana,22,2000,2000,,,,,246,4468976,5.5
,Louisiana,22,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,265,4477875,5.9
Total,Louisiana,22,2001,2001,External causes of morbidity and mortality,V01-Y89,,,265,4477875,5.9
Total,Louisiana,22,2001,2001,,,,,265,4477875,5.9
,Louisiana,22,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,365,4497267,8.1
Total,Louisiana,22,2002,2002,External causes of morbidity and mortality,V01-Y89,,,365,4497267,8.1
Total,Louisiana,22,2002,2002,,,,,365,4497267,8.1
,Louisiana,22,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,536,4521042,11.9
Total,Louisiana,22,2003,2003,External causes of morbidity and mortality,V01-Y89,,,536,4521042,11.9
Total,Louisiana,22,2003,2003,,,,,536,4521042,11.9
,Louisiana,22,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,538,4552238,11.8
Total,Louisiana,22,2004,2004,External causes of morbidity and mortality,V01-Y89,,,538,4552238,11.8
Total,Louisiana,22,2004,2004,,,,,538,4552238,11.8
,Louisiana,22,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,661,4576628,14.4
Total,Louisiana,22,2005,2005,External causes of morbidity and mortality,V01-Y89,,,661,4576628,14.4
Total,Louisiana,22,2005,2005,,,,,661,4576628,14.4
,Louisiana,22,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,704,4302665,16.4
Total,Louisiana,22,2006,2006,External causes of morbidity and mortality,V01-Y89,,,704,4302665,16.4
Total,Louisiana,22,2006,2006,,,,,704,4302665,16.4
,Louisiana,22,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,806,4375581,18.4
Total,Louisiana,22,2007,2007,External causes of morbidity and mortality,V01-Y89,,,806,4375581,18.4
Total,Louisiana,22,2007,2007,,,,,806,4375581,18.4
,Louisiana,22,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,645,4435586,14.5
Total,Louisiana,22,2008,2008,External causes of morbidity and mortality,V01-Y89,,,645,4435586,14.5
Total,Louisiana,22,2008,2008,,,,,645,4435586,14.5
,Louisiana,22,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,583,4491648,13
Total,Louisiana,22,2009,2009,External causes of morbidity and mortality,V01-Y89,,,583,4491648,13
Total,Louisiana,22,2009,2009,,,,,583,4491648,13
,Louisiana,22,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,591,4533372,13
Total,Louisiana,22,2010,2010,External causes of morbidity and mortality,V01-Y89,,,591,4533372,13
Total,Louisiana,22,2010,2010,,,,,591,4533372,13
,Louisiana,22,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,600,4574836,13.1
Total,Louisiana,22,2011,2011,External causes of morbidity and mortality,V01-Y89,,,600,4574836,13.1
Total,Louisiana,22,2011,2011,,,,,600,4574836,13.1
,Louisiana,22,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,565,4601893,12.3
Total,Louisiana,22,2012,2012,External causes of morbidity and mortality,V01-Y89,,,565,4601893,12.3
Total,Louisiana,22,2012,2012,,,,,565,4601893,12.3
,Louisiana,22,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,809,4625470,17.5
Total,Louisiana,22,2013,2013,External causes of morbidity and mortality,V01-Y89,,,809,4625470,17.5
Total,Louisiana,22,2013,2013,,,,,809,4625470,17.5
,Louisiana,22,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,777,4649676,16.7
Total,Louisiana,22,2014,2014,External causes of morbidity and mortality,V01-Y89,,,777,4649676,16.7
Total,Louisiana,22,2014,2014,,,,,777,4649676,16.7
,Louisiana,22,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,861,4670724,18.4
Total,Louisiana,22,2015,2015,External causes of morbidity and mortality,V01-Y89,,,861,4670724,18.4
Total,Louisiana,22,2015,2015,,,,,861,4670724,18.4
,Louisiana,22,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,996,4681666,21.3
Total,Louisiana,22,2016,2016,External causes of morbidity and mortality,V01-Y89,,,996,4681666,21.3
Total,Louisiana,22,2016,2016,,,,,996,4681666,21.3
,Louisiana,22,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1108,4684333,23.7
Total,Louisiana,22,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1108,4684333,23.7
Total,Louisiana,22,2017,2017,,,,,1108,4684333,23.7
,Louisiana,22,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1139,4659978,24.4
Total,Louisiana,22,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1139,4659978,24.4
Total,Louisiana,22,2018,2018,,,,,1139,4659978,24.4
,Louisiana,22,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1267,4648794,27.3
Total,Louisiana,22,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1267,4648794,27.3
Total,Louisiana,22,2019,2019,,,,,1267,4648794,27.3
Total,Louisiana,22,,,,,,,14249,95491059,14.9
,Maine,23,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,67,1266808,5.3
Total,Maine,23,1999,1999,External causes of morbidity and mortality,V01-Y89,,,67,1266808,5.3
Total,Maine,23,1999,1999,,,,,67,1266808,5.3
,Maine,23,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,61,1274923,4.8
Total,Maine,23,2000,2000,External causes of morbidity and mortality,V01-Y89,,,61,1274923,4.8
Total,Maine,23,2000,2000,,,,,61,1274923,4.8
